iter	RMSE
0	15.03230624
1	14.62347701
2	14.24676217
3	13.91634288
4	13.5545063
5	13.21143198
6	12.89927202
7	12.61514424
8	12.29339448
9	12.01085639
10	11.75970014
11	11.49870605
12	11.2315084
13	10.98873588
14	10.74885921
15	10.54536852
16	10.34081389
17	10.1480521
18	9.940304243
19	9.76149685
20	9.557815978
21	9.37248248
22	9.19857366
23	9.042354338
24	8.903733733
25	8.758056965
26	8.609397346
27	8.470312731
28	8.333609922
29	8.214181657
30	8.091532411
31	7.97331176
32	7.857927771
33	7.753340536
34	7.666607822
35	7.568013146
36	7.469295178
37	7.384979193
38	7.302943608
39	7.218752672
40	7.142269849
41	7.059109095
42	6.989228445
43	6.917847933
44	6.850990977
45	6.791576855
46	6.728220282
47	6.668591339
48	6.609640364
49	6.5604866
50	6.508069534
51	6.458987639
52	6.414264993
53	6.375155207
54	6.331758021
55	6.299209831
56	6.260243878
57	6.223933602
58	6.18359996
59	6.145773007
60	6.120257093
61	6.091094814
62	6.068611843
63	6.040821609
64	6.010246632
65	5.985605111
66	5.961165214
67	5.937570539
68	5.911430615
69	5.891284472
70	5.871955359
71	5.851182644
72	5.83367476
73	5.812810684
74	5.796115336
75	5.772486546
76	5.758705201
77	5.743479628
78	5.726904711
79	5.710315727
80	5.694888089
81	5.676656936
82	5.661622743
83	5.64679943
84	5.636998512
85	5.621442721
86	5.61162043
87	5.597778641
88	5.589233764
89	5.577673304
90	5.568955921
91	5.554220293
92	5.543785529
93	5.533180156
94	5.521356963
95	5.510637192
96	5.499516462
97	5.490940538
98	5.480438598
99	5.472151933
100	5.464623042
101	5.456620033
102	5.447782788
103	5.439221072
104	5.433609394
105	5.425747447
106	5.418881396
107	5.416119055
108	5.409799547
109	5.401391455
110	5.388666067
111	5.382451384
112	5.372733943
113	5.365593795
114	5.358283265
115	5.348289534
116	5.343676529
117	5.334166007
118	5.326388464
119	5.320563748
120	5.312743735
121	5.305081834
122	5.300782925
123	5.292322316
124	5.286532438
125	5.279869221
126	5.274994854
127	5.269636287
128	5.26261238
129	5.255666982
130	5.247326459
131	5.243055068
132	5.239393133
133	5.230010214
134	5.226070071
135	5.220447661
136	5.218142961
137	5.213890478
138	5.207154971
139	5.199145487
140	5.194133193
141	5.188862319
142	5.18395808
143	5.179115084
144	5.175509095
145	5.168538157
146	5.165244348
147	5.160964401
148	5.156071373
149	5.152213575
150	5.14534973
151	5.141154768
152	5.138817063
153	5.135936814
154	5.131015024
155	5.129866426
156	5.122300126
157	5.120043224
158	5.115727528
159	5.112409538
160	5.10625447
161	5.102707204
162	5.100476215
163	5.097167113
164	5.092815231
165	5.087178102
166	5.084185394
167	5.0825932
168	5.079769251
169	5.076178991
170	5.072958055
171	5.068981219
172	5.066138713
173	5.064184246
174	5.060814495
175	5.057692442
176	5.053600881
177	5.053364521
178	5.049527272
179	5.046500807
180	5.040950718
181	5.035077701
182	5.030891239
183	5.027221408
184	5.025283111
185	5.021432251
186	5.018634827
187	5.014816126
188	5.012340274
189	5.008974843
190	5.006380853
191	5.000697724
192	4.996864909
193	4.991587204
194	4.988907073
195	4.982659882
196	4.978369338
197	4.97531153
198	4.968559671
199	4.964621415
200	4.960243065
201	4.956932587
202	4.951561179
203	4.95006343
204	4.94544104
205	4.942769506
206	4.936657499
207	4.934687011
208	4.932408331
209	4.929693503
210	4.926064359
211	4.923947715
212	4.921766482
213	4.915401268
214	4.913560589
215	4.911234182
216	4.907791363
217	4.902868478
218	4.900185043
219	4.898688494
220	4.896786038
221	4.893310221
222	4.889166908
223	4.886888354
224	4.88320287
225	4.87689133
226	4.872316163
227	4.870529636
228	4.869575774
229	4.867742838
