iter	Passed	Remaining
0	149	149418
1	153	76838
2	159	52869
3	163	40796
4	168	33610
5	173	28713
6	178	25259
7	182	22674
8	187	20654
9	192	19045
10	195	17573
11	200	16506
12	205	15583
13	209	14781
14	214	14108
15	219	13508
16	224	12978
17	229	12500
18	233	12065
19	238	11699
20	243	11347
21	248	11025
22	252	10735
23	256	10429
24	258	10083
25	261	9796
26	264	9525
27	267	9273
28	269	9034
29	272	8811
30	275	8600
31	277	8397
32	280	8212
33	282	8033
34	285	7861
35	287	7704
36	290	7551
37	292	7414
38	295	7279
39	297	7149
40	300	7029
41	302	6909
42	305	6799
43	307	6689
44	310	6590
45	313	6493
46	315	6397
47	318	6307
48	320	6222
49	323	6139
50	325	6054
51	328	5980
52	330	5902
53	332	5825
54	335	5758
55	337	5685
56	339	5619
57	342	5559
58	344	5500
59	347	5446
60	349	5376
61	351	5323
62	353	5263
63	356	5213
64	358	5163
65	361	5114
66	363	5064
67	366	5019
68	368	4976
69	371	4933
70	373	4892
71	376	4851
72	378	4806
73	381	4768
74	383	4729
75	385	4691
76	388	4654
77	390	4618
78	393	4583
79	395	4548
80	398	4517
81	400	4484
82	403	4452
83	405	4421
84	407	4391
85	410	4364
86	413	4337
87	415	4310
88	418	4283
89	421	4257
90	423	4232
91	426	4205
92	428	4178
93	430	4152
94	433	4128
95	435	4105
96	438	4080
97	440	4057
98	443	4034
99	445	4012
100	448	3991
101	450	3968
102	453	3946
103	455	3926
104	458	3906
105	460	3887
106	463	3866
107	464	3840
108	466	3817
109	469	3798
110	471	3780
111	474	3761
112	476	3742
113	479	3724
114	481	3705
115	484	3689
116	486	3671
117	488	3653
118	491	3636
119	493	3620
120	496	3604
121	498	3588
122	501	3572
123	503	3556
124	506	3543
125	508	3527
126	510	3511
127	513	3496
128	515	3482
129	518	3468
130	521	3456
131	523	3443
132	526	3428
133	528	3416
134	530	3402
135	533	3389
136	535	3374
137	538	3360
138	540	3347
139	542	3335
140	545	3322
141	548	3311
142	550	3299
143	552	3286
144	555	3274
145	557	3263
146	560	3251
147	562	3240
148	565	3230
149	568	3219
150	570	3209
151	573	3200
152	575	3188
153	578	3177
154	581	3167
155	582	3152
156	585	3141
157	587	3130
158	589	3119
159	592	3110
160	594	3100
161	597	3091
162	600	3081
163	602	3072
164	605	3062
165	607	3053
166	610	3043
167	612	3033
168	615	3025
169	617	3016
170	620	3007
171	622	2998
172	625	2988
173	627	2978
174	629	2969
175	632	2960
176	634	2952
177	635	2936
178	638	2927
179	640	2918
180	643	2910
181	645	2901
182	648	2894
183	650	2886
184	653	2877
185	655	2869
186	658	2861
187	660	2853
188	663	2845
189	665	2837
190	668	2830
191	670	2822
192	673	2815
193	675	2807
194	677	2798
195	680	2790
196	682	2782
197	684	2774
198	687	2767
199	690	2760
200	692	2753
201	695	2746
202	697	2739
203	700	2732
204	702	2725
205	705	2717
206	707	2710
207	710	2704
208	712	2698
209	715	2690
210	717	2683
211	720	2677
212	722	2670
213	725	2664
214	727	2657
215	730	2650
216	732	2644
217	735	2637
